NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;SetErrorMode;RegCloseKey;NtMapViewOfSection;FindFirstFileExW;RegQueryValueExW;NtFreeVirtualMemory;NtReadFile;NtEnumerateKey;GetFileAttributesW;NtUnmapViewOfSection;LdrUnloadDll;NtCreateSection;NtTerminateProcess
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8838;383;129;21895;378;46;20;0;104;0;6905;3047;26;2664;528;417;5887;19360;4127;0;4128;526;32;513;3
31;7;19;0;6;4;2;0;1;1;1;0;12;0;1;24;0;0;0;0;2;0;1;1;3
16;2;3;4;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
72;19;20;28;20;11;8;0;5;1;1;19;0;19;1;0;18;1;3;0;1;3;3;0;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
26;6;5;6;6;4;2;0;1;1;2;3;9;2;1;16;14;0;0;0;5;0;1;1;3
31;9;7;2;13;2;1;0;3;1;1;6;0;9;0;0;9;1;0;0;0;0;3;0;3
14;7;6;3;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8823;383;130;22007;370;45;19;0;108;0;6903;3020;22;2631;522;417;5778;19530;4125;0;4125;525;36;512;3
31;7;19;0;6;4;2;0;1;1;1;0;12;0;1;24;0;0;0;0;2;0;1;1;3
16;2;3;4;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
72;19;20;27;20;11;8;0;5;1;1;19;0;19;1;0;18;1;3;0;1;3;3;0;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
26;6;5;6;6;4;2;0;1;1;2;3;9;2;1;16;14;0;0;0;5;0;1;1;3
31;9;7;2;13;2;1;0;3;1;1;6;0;9;0;0;9;1;0;0;0;0;3;0;3
14;7;6;3;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8814;379;128;21912;364;45;21;0;105;0;6903;2986;22;2619;522;417;5767;19375;4134;0;4125;525;33;512;3
31;7;19;0;6;4;2;0;1;1;1;0;12;0;1;24;0;0;0;0;2;0;1;1;3
16;2;3;4;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
72;19;20;27;20;11;8;0;5;1;1;19;0;19;1;0;18;1;3;0;1;3;3;0;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
77;80;47;0;2;2;1;2;2;1;1;0;0;0;1;0;0;0;0;24;0;0;3;1;3
26;6;5;6;6;4;2;0;1;1;2;3;9;2;1;16;14;0;0;0;5;0;1;1;3
31;9;7;2;13;2;1;0;3;1;1;6;0;9;0;0;9;1;0;0;0;0;3;0;3
14;7;6;3;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8832;383;130;21879;364;45;22;0;106;0;6904;3020;22;2631;522;417;5778;19350;4193;0;4122;525;34;512;3
31;7;19;0;6;4;2;0;1;1;1;0;12;0;1;24;0;0;0;0;2;0;1;1;3
16;2;3;4;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3
